restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
JW MARRIOTT CLT DEANS ITALIAN STEAKHOUSE|600 S COLLEGE ST,0.4282771870357676,0.8165553124585389,92.0,6,2024-10-24,JW MARRIOTT CLT DEANS ITALIAN STEAKHOUSE,600 S COLLEGE ST,A
ASAHI SUSHI|10920 WINDS CROSSING DR,0.4282579994832133,0.4282579994832133,97.0,1,2024-08-20,ASAHI SUSHI,10920 WINDS CROSSING DR,A
PHO AT NODA|2100 N DAVIDSON ST,0.4255703898377297,0.7888942596467394,93.0,8,2024-10-21,PHO AT NODA,2100 N DAVIDSON ST,A
BAODING|4722 SHARON RD,0.4225200792940126,0.5313784231751741,95.5,5,2024-09-10,BAODING,4722 SHARON RD,A
PHILLY CORNER|8535 HANKINS RD,0.4205090805680289,0.7742098830725921,97.5,5,2024-11-15,PHILLY CORNER,8535 HANKINS RD,A
POPEYES #13844|4422 SUNSET RD,0.4203690336681125,0.7922056477143784,98.0,6,2024-12-05,POPEYES #13844,4422 SUNSET RD,A
CRISPY BANH MI|2130 AYRSLEY TOWN BV,0.42036127348473123,0.7406339423289524,98.0,9,2024-12-19,CRISPY BANH MI,2130 AYRSLEY TOWN BV,A
SABI ASIAN BISTRO|130 HARBOUR PLACE DR,0.41963216968354605,0.6543279465102995,96.0,5,2024-07-08,SABI ASIAN BISTRO,130 HARBOUR PLACE DR,A
MARKET EXPRESS #17385|5600 BROOKSHIRE BV,0.41917727891933454,0.6958530884628508,96.5,5,2024-08-02,MARKET EXPRESS #17385,5600 BROOKSHIRE BV,A
BONCHON CHARLOTTE - WOODLAWN|1600 E WOODLAWN RD,0.4182081479906134,0.7779820541914751,97.5,8,2024-11-07,BONCHON CHARLOTTE - WOODLAWN,1600 E WOODLAWN RD,A
DOUBLE TREE BY HILTON SOUTH TYVOLA RESTAURANT|5624 WESTPARK DR,0.4181439237376434,0.8285740943948249,91.5,6,2024-08-20,DOUBLE TREE BY HILTON SOUTH TYVOLA RESTAURANT,5624 WESTPARK DR,A
VELVET TACO|1601 E WOODLAWN RD,0.41804475598330704,0.7134349188412548,94.0,5,2024-10-28,VELVET TACO,1601 E WOODLAWN RD,A
WAFFLE HOUSE #1319|8635 HANKINS RD,0.41693765508494696,0.7193056275739771,93.5,4,2024-09-26,WAFFLE HOUSE #1319,8635 HANKINS RD,A
INDIAN WHOLESALE|8104 UNIVERSITY CITY BV,0.41688868026083264,0.7346207150163939,95.5,3,2024-12-13,INDIAN WHOLESALE,8104 UNIVERSITY CITY BV,A
HUANGS CHINA BISTRO|19826 NORTH COVE RD,0.41677741149766767,0.626660352881617,95.5,5,2024-09-04,HUANGS CHINA BISTRO,19826 NORTH COVE RD,A
JACK BEAGLES|3213 N DAVIDSON ST,0.41659129879565787,0.6912324075892261,92.5,6,2024-08-21,JACK BEAGLES,3213 N DAVIDSON ST,A
ROZ GRILL|8200 PROVIDENCE RD,0.41557230895241065,0.41557230895241065,92.5,1,2024-09-12,ROZ GRILL,8200 PROVIDENCE RD,A
GOAT PIZZA CORNELIUS|9623 BAILEY RD,0.4113720528127946,0.4113720528127946,93.0,1,2024-10-16,GOAT PIZZA CORNELIUS,9623 BAILEY RD,A
TUPELO HONEY CAFE|101 S TRYON ST,0.4095641421525774,0.7979942086815978,93.0,8,2024-11-07,TUPELO HONEY CAFE,101 S TRYON ST,A
GUATE LINDA|6016 THE PLAZA,0.40954638699804463,0.5575217201268553,98.0,8,2024-10-16,GUATE LINDA,6016 THE PLAZA,A
AMERICAN DELI-INDEPENDENCE|7309 E INDEPENDENCE BV,0.409316804854645,0.7039915024759363,96.5,6,2024-11-25,AMERICAN DELI-INDEPENDENCE,7309 E INDEPENDENCE BV,A
BARCELONA WINE BAR|101 W WORTHINGTON AV,0.4093098311258989,0.8123503630462198,95.0,8,2024-12-30,BARCELONA WINE BAR,101 W WORTHINGTON AV,A
RICEBLOSSOM|8418 PARK RD,0.4080147329788631,0.5758256166348982,92.5,6,2024-07-09,RICEBLOSSOM,8418 PARK RD,A
CHEDDARS|620 UNIVERSITY CENTER BV,0.4077745242998762,0.5916440805835733,94.0,6,2024-10-30,CHEDDARS,620 UNIVERSITY CENTER BV,A
BOJANGLES #519|5231 OLD DOWD RD,0.4075043419097632,0.6213209905729987,93.0,6,2024-11-01,BOJANGLES #519,5231 OLD DOWD RD,A
TEXAS ROADHOUSE MATTHEWS|10400 E INDEPENDENCE BV,0.406742328669319,0.7466592775287919,95.5,6,2024-10-31,TEXAS ROADHOUSE MATTHEWS,10400 E INDEPENDENCE BV,A
