acs_year,state_fips,county_fips,tract,block_group,acs_data_year,median_income,total_pop,white,black,asian,total_pop_hispanic_table,hispanic,under_18,over_65,pct_white,pct_black,pct_asian,pct_hispanic
2018,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2019,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2020,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2021,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2022,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2023,37,119,005853,2,2023,60179.0,214.0,139.0,75.0,0.0,214.0,0.0,,,0.6495327102803738,0.35046728971962615,0.0,0.0
2017,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2018,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2019,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2020,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2021,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2022,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2023,37,119,003204,3,2023,162298.0,1220.0,1018.0,40.0,9.0,1220.0,49.0,,,0.8344262295081967,0.03278688524590164,0.007377049180327869,0.04016393442622951
2015,37,119,980100,1,2023,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016,37,119,980100,1,2023,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017,37,119,980100,1,2023,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
