Premise Address 1,Premise City,Premise State,Premise ZIP,acs_year,matched_address,lon,lat,state_fips,county_fips,tract,block,block_group,geoid_tract,geoid_block_group
9425 SOUTH BV,Charlotte,NC,,2023,"9425 SOUTH BLVD, CHARLOTTE, NC, 28273",-80.8818377064,35.109017923045,37,119,005827,1009,1,37119005827,371190058271
14130 RIVERGATE PY,Charlotte,NC,,2016,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2017,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2018,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2019,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2020,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2021,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2022,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
14130 RIVERGATE PY,Charlotte,NC,,2023,"14130 RIVERGATE PKWY, CHARLOTTE, NC, 28273",-80.985156713733,35.103634198383,37,119,005918,3001,3,37119005918,371190059183
1764 NORLAND RD,Charlotte,NC,,2015,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2016,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2017,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2018,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2019,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2020,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2021,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2022,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1764 NORLAND RD,Charlotte,NC,,2023,"1764 NORLAND RD, CHARLOTTE, NC, 28205",-80.772924078509,35.212335533672,37,119,001702,1000,1,37119001702,371190017021
1331 CENTRAL AV,Charlotte,NC,,2019,"1331 CENTRAL AVE, CHARLOTTE, NC, 28205",-80.816225889898,35.220906542926,37,119,001000,3003,3,37119001000,371190010003
1331 CENTRAL AV,Charlotte,NC,,2020,"1331 CENTRAL AVE, CHARLOTTE, NC, 28205",-80.816225889898,35.220906542926,37,119,001000,3003,3,37119001000,371190010003
1331 CENTRAL AV,Charlotte,NC,,2021,"1331 CENTRAL AVE, CHARLOTTE, NC, 28205",-80.816225889898,35.220906542926,37,119,001000,3003,3,37119001000,371190010003
