premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual
COMPASS/WELLS FARGO EMERALD COMMONS,1525 W W T HARRIS BV,Charlotte,NC,,COMPASS/WELLS FARGO EMERALD COMMONS,,other,
CONSPIRACY,412 W 5TH ST,Charlotte,NC,,CONSPIRACY,,other,
CONVENTION CENTER/BANQUET KIT,501 S COLLEGE ST,Charlotte,NC,,CONVENTION CENTER/BANQUET KIT,,other,
"COOKING POT, THE",5622 E INDEPENDENCE BV,Charlotte,NC,,COOKING POT,,other,
COOL FISH,21726 CATAWBA AV,Charlotte,NC,,COOL FISH,,other,
COPPER,311 EAST BV,Charlotte,NC,,COPPER,,other,
COQUETTE,400 S TRYON ST,Charlotte,NC,,COQUETTE,,other,
COSTA DEL SOL,8045 SOUTH BV,Charlotte,NC,,COSTA DEL SOL,,other,
COSTA DEL SOL,809 E ARROWOOD RD,Charlotte,NC,,COSTA DEL SOL,,other,
COSTA DEL SOL PINEVILLE,10215 PARK RD,Charlotte,NC,,COSTA DEL SOL PINEVILLE,,other,
COSTCO #367 FOOD COURT,2125 MATTHEWS TOWNSHIP PY,Charlotte,NC,,COSTCO FOOD COURT,,other,
COTTAGE,6701 N TRYON ST,Charlotte,NC,,COTTAGE,,other,
COTTAGE,7705 S TRYON ST,Charlotte,NC,,COTTAGE,,other,
COTTAGE EXPRESS,7209 E W T HARRIS BV,Charlotte,NC,,COTTAGE EXPRESS,,other,
COUNTER,2001 W MOREHEAD ST,Charlotte,NC,,COUNTER,,other,
COUNTRY INN & SUITES,16617 STATESVILLE RD,Charlotte,NC,,COUNTRY INN & SUITES,,other,
COUNTRY INN & SUITES BY RADISSON,2541 LITTLE ROCK RD,Charlotte,NC,,COUNTRY INN & SUITES BY RADISSON,,other,
