total_pop,occupied_units,renter_occupied,labor_force,unemployed,owner_no_vehicle,renter_no_vehicle,state,county,tract,block group,state_fips,county_fips,block_group,acs_data_year,pct_renter,pct_unemployed,pct_no_vehicle
2786,1118,1108,1802,60,51,0,37,119,003109,1,37,119,1,2023,0.9910554561717353,0.033296337402885685,0.04561717352415027
3202,830,287,1618,259,32,0,37,119,001922,1,37,119,1,2023,0.3457831325301205,0.16007416563658838,0.03855421686746988
1066,790,618,1004,76,76,0,37,119,004101,1,37,119,1,2023,0.7822784810126582,0.07569721115537849,0.09620253164556962
3238,995,404,1858,100,20,0,37,119,004303,1,37,119,1,2023,0.40603015075376886,0.05382131324004306,0.020100502512562814
1067,588,534,721,10,13,0,37,119,006115,2,37,119,2,2023,0.9081632653061225,0.013869625520110958,0.022108843537414966
820,252,69,622,7,0,0,37,119,005919,2,37,119,2,2023,0.27380952380952384,0.011254019292604502,0.0
2117,552,552,581,23,94,0,37,119,004306,2,37,119,2,2023,1.0,0.039586919104991396,0.17028985507246377
2196,1061,248,1667,45,0,28,37,119,003110,1,37,119,1,2023,0.23374175306314798,0.026994601079784044,0.02639019792648445
306,227,172,240,21,11,17,37,119,005200,2,37,119,2,2023,0.7577092511013216,0.0875,0.12334801762114538
3338,1228,608,1716,72,23,0,37,119,005530,1,37,119,1,2023,0.495114006514658,0.04195804195804196,0.018729641693811076
1602,730,251,1157,155,0,7,37,119,001400,1,37,119,1,2023,0.34383561643835614,0.13396715643906656,0.009589041095890411
1117,531,302,827,105,48,0,37,119,000900,2,37,119,2,2023,0.568738229755179,0.12696493349455865,0.0903954802259887
1636,721,206,1199,40,0,20,37,119,001200,3,37,119,3,2023,0.2857142857142857,0.03336113427856547,0.027739251040221916
2836,1326,582,1466,43,84,0,37,119,006109,1,37,119,1,2023,0.43891402714932126,0.029331514324693043,0.06334841628959276
1728,673,424,934,38,22,5,37,119,005920,1,37,119,1,2023,0.6300148588410104,0.04068522483940043,0.04011887072808321
805,352,110,534,11,0,0,37,119,003402,2,37,119,2,2023,0.3125,0.020599250936329586,0.0
1290,501,225,751,0,0,78,37,119,003600,3,37,119,3,2023,0.4491017964071856,0.0,0.15568862275449102
1326,547,145,735,15,9,9,37,119,002701,2,37,119,2,2023,0.26508226691042047,0.02040816326530612,0.03290676416819013
2170,654,268,1049,29,0,0,37,119,005858,1,37,119,1,2023,0.40978593272171254,0.027645376549094377,0.0
2225,1057,445,952,0,62,6,37,119,005406,1,37,119,1,2023,0.4210028382213813,0.0,0.06433301797540208
3058,1216,371,2081,287,0,0,37,119,005721,2,37,119,2,2023,0.3050986842105263,0.13791446419990389,0.0
2843,965,823,1363,38,96,0,37,119,001925,3,37,119,3,2023,0.8528497409326425,0.027879677182685254,0.09948186528497409
4922,1620,647,2491,144,38,0,37,119,005531,2,37,119,2,2023,0.3993827160493827,0.05780810919309514,0.02345679012345679
901,446,214,534,0,0,30,37,119,005517,2,37,119,2,2023,0.4798206278026906,0.0,0.06726457399103139
1813,1154,1027,1580,40,145,22,37,119,000401,1,37,119,1,2023,0.889948006932409,0.02531645569620253,0.14471403812824957
2983,821,122,1264,44,0,0,37,119,002702,1,37,119,1,2023,0.14859926918392205,0.03481012658227848,0.0
1667,504,442,656,115,83,0,37,119,001918,3,37,119,3,2023,0.876984126984127,0.17530487804878048,0.16468253968253968
